Date,Time,State,City,Location_Zone,Ride_Request,Available_Vehicle,Completed_Rides,Cancelled_Rides,Average_Wait_Time,Surge_Multiplier
2026-07-21,21:00:00,Maharashtra,Mumbai,Powai,85,147,80,5,5.9,1.02
2026-05-16,02:00:00,Maharashtra,Mumbai,Bandra,45,89,44,1,4.15,1.0
2026-05-28,21:00:00,Maharashtra,Mumbai,Borivali,134,183,126,8,5.39,1.0
2026-06-24,11:00:00,Maharashtra,Mumbai,Andheri,81,143,79,2,4.24,1.02
2026-06-14,01:00:00,Maharashtra,Mumbai,Andheri,47,142,43,4,5.78,1.03
2026-06-17,15:00:00,Maharashtra,Mumbai,Powai,96,125,85,11,4.79,1.0
2026-07-07,20:00:00,Maharashtra,Mumbai,Powai,199,164,185,14,6.46,1.17
2026-05-25,09:00:00,Maharashtra,Mumbai,Powai,146,151,134,12,7.71,1.08
2026-07-02,01:00:00,Maharashtra,Mumbai,Bandra,39,128,37,2,4.97,1.02
2026-05-19,22:00:00,Maharashtra,Mumbai,Thane,74,113,70,4,5.97,1.0
2026-06-12,01:00:00,Maharashtra,Mumbai,Bandra,45,105,43,2,4.41,1.03
,04:00:00,Maharashtra,Mumbai,Lower Parel,65,186,62,3,4.88,1.0
2026-05-12,21:00:00,Maharashtra,Mumbai,Borivali,129,171,115,14,6.06,1.02
2026-05-09,11:00:00,Maharashtra,Mumbai,Lower Parel,131,185,123,8,4.96,1.0
2026-05-28,07:00:00,Maharashtra,Mumbai,Bandra,157,129,139,18,7.21,1.11
2026-07-06,00:00:00,Maharashtra,Mumbai,Borivali,84,167,77,7,4.88,1.0
2026-05-28,07:00:00,Maharashtra,Mumbai,Borivali,194,185,174,20,6.96,1.09
2026-07-23,21:00:00,Maharashtra,Mumbai,Dadar,53,89,48,5,5.29,1.0
2026-05-05,00:00:00,Maharashtra,Mumbai,Andheri,49,143,47,2,4.13,1.0
2026-05-18,06:00:00,Maharashtra,Mumbai,Dadar,72,79,67,5,5.77,1.03
2026-05-07,22:00:00,Maharashtra,Mumbai,Powai,100,135,93,7,5.65,1.0
2026-06-12,03:00:00,Maharashtra,Mumbai,Powai,53,127,49,4,5.42,1.0
2026-05-15,06:00:00,Maharashtra,Mumbai,Borivali,134,200,127,7,5.56,1.0
2026-07-07,23:00:00,Maharashtra,Mumbai,Borivali,131,170,120,11,5.58,1.03
2026-06-02,20:00:00,Maharashtra,Mumbai,Andheri,225,163,195,30,8.44,1.22
2026-07-27,00:00:00,Maharashtra,Mumbai,Lower Parel,59,151,59,0,4.48,1.0
2026-07-24,11:00:00,Maharashtra,Mumbai,Powai,81,121,76,5,6.32,1.02
2026-05-05,07:00:00,Maharashtra,Mumbai,Powai,201,134,181,20,7.51,1.2
2026-07-15,15:00:00,Maharashtra,Mumbai,Kurla,140,212,130,10,5.9,1.02
2026-06-15,04:00:00,Maharashtra,Mumbai,Andheri,42,147,37,5,5.42,1.01
2026-07-01,10:00:00,Maharashtra,Mumbai,Lower Parel,129,151,121,8,5.73,1.0
2026-05-25,08:00:00,Maharashtra,Mumbai,Dadar,127,117,117,10,6.45,1.05
2026-06-09,02:00:00,Maharashtra,Mumbai,Borivali,79,172,69,10,4.64,1.01
2026-05-31,15:00:00,Maharashtra,Mumbai,Dadar,68,116,64,4,5.11,1.04
2026-05-16,07:00:00,Maharashtra,Mumbai,Andheri,137,158,124,13,5.96,1.04
2026-06-10,16:00:00,Maharashtra,Mumbai,Powai,101,143,95,6,5.83,1.01
2026-06-15,03:00:00,Maharashtra,Mumbai,Kurla,61,186,55,6,3.63,1.02
2026-05-04,09:00:00,Maharashtra,Mumbai,Powai,195,153,178,17,6.31,1.13
2026-05-10,23:00:00,Maharashtra,Mumbai,Lower Parel,127,139,117,10,5.5,1.01
2026-06-24,01:00:00,Maharashtra,Mumbai,Dadar,34,92,33,1,4.89,1.0
2026-05-15,15:00:00,Maharashtra,Mumbai,Dadar,66,96,62,4,6.17,1.02
2026-06-27,19:00:00,Maharashtra,Mumbai,Kurla,233,208,207,26,6.33,1.14
2026-06-22,15:00:00,Maharashtra,Mumbai,Bandra,72,101,65,7,4.51,1.0
2026-05-24,06:00:00,Maharashtra,Mumbai,Lower Parel,92,169,90,2,4.83,1.0
2026-07-08,13:00:00,Maharashtra,Mumbai,Powai,145,131,131,14,5.46,1.06
2026-07-25,00:00:00,Maharashtra,Mumbai,Borivali,61,174,55,6,4.35,1.0
2026-05-02,14:00:00,Maharashtra,Mumbai,Bandra,135,112,124,11,5.97,1.07
,10:00:00,Maharashtra,Mumbai,Andheri,101,152,96,5,4.67,1.01
2026-06-23,03:00:00,Maharashtra,Mumbai,Lower Parel,52,128,50,2,4.18,1.0
2026-07-28,04:00:00,Maharashtra,Mumbai,Thane,33,93,32,1,4.85,1.0
2026-06-25,21:00:00,Maharashtra,Mumbai,Andheri,89,133,84,5,5.21,1.0
2026-06-25,01:00:00,Maharashtra,Mumbai,Kurla,58,212,55,3,5.2,1.0
2026-06-23,19:00:00,Maharashtra,Mumbai,Lower Parel,239,178,205,34,7.12,1.15
2026-06-30,04:00:00,Maharashtra,Mumbai,Powai,54,115,48,6,5.0,1.0
2026-05-16,12:00:00,Maharashtra,Mumbai,Kurla,204,213,185,19,6.28,1.01
2026-07-28,10:00:00,Maharashtra,Mumbai,Kurla,129,178,119,10,4.9,1.03
2026-07-23,16:00:00,Maharashtra,Mumbai,Andheri,86,135,78,8,5.43,1.0
2026-07-11,12:00:00,Maharashtra,Mumbai,Thane,135,100,125,10,7.3,1.15
2026-05-30,11:00:00,Maharashtra,Mumbai,Thane,96,118,90,6,5.48,1.01
2026-05-14,18:00:00,Maharashtra,Mumbai,Bandra,169,139,152,17,7.19,1.2
2026-05-18,14:00:00,Maharashtra,Mumbai,Powai,116,144,112,4,5.6,1.03
2026-05-30,13:00:00,Maharashtra,Mumbai,Dadar,98,111,92,6,6.31,1.06
2026-07-15,23:00:00,Maharashtra,Mumbai,Bandra,89,118,83,6,6.02,1.0
2026-06-01,21:00:00,Maharashtra,Mumbai,Lower Parel,123,169,113,10,6.11,1.0
2026-07-03,05:00:00,Maharashtra,Mumbai,Kurla,82,173,78,4,4.59,1.0
2026-07-25,20:00:00,Maharashtra,Mumbai,Andheri,166,180,152,14,6.74,1.05
2026-07-06,19:00:00,Maharashtra,Mumbai,Thane,196,152,178,18,6.92,1.21
2026-05-20,03:00:00,Maharashtra,Mumbai,Thane,35,107,33,2,5.42,1.05
2026-05-07,19:00:00,Maharashtra,Mumbai,Powai,232,144,198,34,8.81,1.17
2026-06-28,08:00:00,Maharashtra,Mumbai,Borivali,152,166,141,11,5.02,1.03
2026-05-27,04:00:00,Maharashtra,Mumbai,Powai,40,115,40,0,4.47,1.01
2026-07-13,13:00:00,Maharashtra,Mumbai,Thane,121,110,110,11,6.79,1.08
2026-05-19,15:00:00,Maharashtra,Mumbai,Powai,85,131,80,5,5.68,1.0
2026-07-08,20:00:00,Maharashtra,Mumbai,Kurla,336,237,301,35,7.22,1.16
2026-06-11,10:00:00,Maharashtra,Mumbai,Thane,73,113,66,7,4.66,1.0
2026-05-15,17:00:00,Maharashtra,Mumbai,Bandra,167,123,156,11,6.91,1.18
2026-06-04,21:00:00,Maharashtra,Mumbai,Dadar,69,86,64,5,5.56,1.0
2026-07-09,18:00:00,Maharashtra,Mumbai,Lower Parel,274,174,239,35,7.31,1.18
2026-06-27,14:00:00,Maharashtra,Mumbai,Lower Parel,162,160,150,12,5.89,1.08
2026-07-21,04:00:00,Maharashtra,Mumbai,Lower Parel,60,158,53,7,5.16,1.01
2026-05-06,20:00:00,Maharashtra,Mumbai,Lower Parel,270,188,240,30,7.65,1.2
2026-05-23,19:00:00,Maharashtra,Mumbai,Borivali,189,192,177,12,6.9,1.08
2026-05-04,22:00:00,Maharashtra,Mumbai,Kurla,161,206,152,9,3.62,1.02
2026-06-26,07:00:00,Maharashtra,Mumbai,Thane,135,134,124,11,6.89,1.1
2026-06-26,06:00:00,Maharashtra,Mumbai,Andheri,87,153,79,8,5.81,1.0
2026-06-01,06:00:00,Maharashtra,Mumbai,Thane,72,121,70,2,4.5,1.01
2026-06-14,16:00:00,Maharashtra,Mumbai,Bandra,95,133,88,7,4.46,1.0
2026-07-23,03:00:00,Maharashtra,Mumbai,Borivali,58,176,56,2,4.95,1.0
2026-07-13,09:00:00,Maharashtra,Mumbai,Andheri,213,159,192,21,7.08,1.19
2026-06-04,18:00:00,Maharashtra,Mumbai,Powai,228,147,205,23,7.41,1.22
2026-07-03,19:00:00,Maharashtra,Mumbai,Borivali,289,208,253,36,8.09,1.19
2026-06-08,07:00:00,Maharashtra,Mumbai,Powai,184,146,171,13,7.21,1.14
2026-07-27,21:00:00,Maharashtra,Mumbai,Bandra,90,90,78,12,5.15,1.01
2026-07-04,03:00:00,Maharashtra,Mumbai,Dadar,39,61,36,3,5.53,1.03
2026-07-20,16:00:00,Maharashtra,Mumbai,Bandra,86,120,78,8,5.19,1.0
2026-06-29,01:00:00,Maharashtra,Mumbai,Bandra,46,112,44,2,4.67,1.0
2026-06-26,08:00:00,Maharashtra,Mumbai,Bandra,163,132,150,13,6.66,1.14
2026-06-25,10:00:00,Maharashtra,Mumbai,Borivali,105,173,98,7,4.76,1.0
2026-07-28,05:00:00,Maharashtra,Mumbai,Kurla,57,165,52,5,4.17,
2026-07-26,04:00:00,Maharashtra,Mumbai,Andheri,51,155,49,2,4.59,1.04
2026-06-15,20:00:00,Maharashtra,Mumbai,,141,107,126,15,,1.18
2026-06-12,08:00:00,Maharashtra,Mumbai,Powai,202,141,181,21,6.91,1.15
2026-07-15,06:00:00,Maharashtra,Mumbai,Kurla,130,187,123,7,5.89,1.02
2026-07-27,01:00:00,Maharashtra,Mumbai,Thane,44,98,42,2,4.51,1.0
2026-05-29,17:00:00,Maharashtra,Mumbai,Bandra,187,124,165,22,7.29,1.24
2026-05-26,,Maharashtra,Mumbai,Thane,38,84,32,6,4.87,1.01
2026-06-24,21:00:00,Maharashtra,Mumbai,Thane,76,112,67,9,5.56,1.04
2026-06-19,16:00:00,Maharashtra,Mumbai,Bandra,87,127,84,3,5.96,1.0
2026-05-10,13:00:00,Maharashtra,Mumbai,Kurla,227,201,206,21,5.65,1.1
2026-06-07,21:00:00,Maharashtra,Mumbai,Lower Parel,130,157,118,12,5.98,1.04
2026-07-13,07:00:00,Maharashtra,Mumbai,Dadar,151,128,139,12,6.52,1.09
2026-05-06,14:00:00,Maharashtra,Mumbai,Powai,125,134,115,10,5.33,1.11
2026-06-08,06:00:00,Maharashtra,Mumbai,Borivali,118,193,110,8,5.06,1.0
2026-05-17,12:00:00,Maharashtra,Mumbai,Dadar,93,97,84,9,6.24,1.05
2026-07-12,16:00:00,,Mumbai,Lower Parel,120,162,107,13,5.12,1.0
2026-07-09,02:00:00,Maharashtra,Mumbai,Kurla,68,197,59,9,4.77,1.0
2026-06-11,21:00:00,Maharashtra,Mumbai,Bandra,87,128,78,9,,1.0
2026-05-09,05:00:00,Maharashtra,Mumbai,Bandra,54,108,50,4,5.78,1.0
2026-05-12,08:00:00,Maharashtra,Mumbai,Powai,157,152,143,14,6.21,1.11
2026-05-28,00:00:00,Maharashtra,Mumbai,Borivali,87,172,82,5,3.81,1.04
2026-07-02,13:00:00,Maharashtra,Mumbai,Dadar,98,106,91,7,5.85,1.03
2026-06-18,16:00:00,Maharashtra,Mumbai,Borivali,127,177,123,4,5.61,1.0
2026-05-05,18:00:00,Maharashtra,Mumbai,Borivali,282,193,259,23,7.51,1.19
2026-05-14,,Maharashtra,Mumbai,Andheri,48,128,45,3,4.46,1.02
2026-07-01,21:00:00,Maharashtra,Mumbai,Powai,96,140,92,4,5.07,1.08
2026-05-02,18:00:00,Maharashtra,Mumbai,Thane,132,100,112,20,5.82,1.14
2026-06-11,12:00:00,Maharashtra,Mumbai,Andheri,139,154,130,9,6.15,1.02
2026-05-03,09:00:00,Maharashtra,Mumbai,Thane,129,125,116,13,6.86,1.04
2026-06-04,07:00:00,Maharashtra,Mumbai,Andheri,206,155,187,19,7.07,1.19
2026-05-16,03:00:00,Maharashtra,Mumbai,Thane,45,104,40,5,4.73,1.0
2026-06-29,15:00:00,Maharashtra,Mumbai,Borivali,121,185,113,8,5.68,1.0
2026-06-07,13:00:00,Maharashtra,Mumbai,Andheri,140,145,132,8,6.43,1.01
2026-06-02,21:00:00,Maharashtra,Mumbai,Borivali,139,191,130,9,6.18,1.0
2026-07-21,14:00:00,Maharashtra,Mumbai,Thane,97,129,89,8,5.24,1.04
2026-07-02,02:00:00,Maharashtra,Mumbai,Dadar,35,73,33,2,4.88,1.03
2026-07-15,04:00:00,Maharashtra,Mumbai,Borivali,65,170,58,7,6.04,1.0
2026-05-07,15:00:00,Maharashtra,Mumbai,Kurla,163,214,151,12,5.96,1.0
2026-06-28,16:00:00,Maharashtra,Mumbai,Lower Parel,125,150,116,9,5.49,1.01
2026-05-13,20:00:00,Maharashtra,Mumbai,Thane,180,144,167,13,7.8,1.14
2026-05-15,18:00:00,Maharashtra,Mumbai,Lower Parel,248,184,214,34,7.38,1.14
2026-07-22,17:00:00,Maharashtra,Mumbai,Powai,208,179,187,21,7.57,1.19
2026-07-24,00:00:00,Maharashtra,Mumbai,Thane,41,81,39,2,4.57,1.0
2026-05-19,11:00:00,Maharashtra,Mumbai,Thane,73,116,68,5,4.78,1.0
2026-05-13,14:00:00,Maharashtra,Mumbai,Bandra,121,157,118,3,4.77,1.02
2026-06-28,16:00:00,Maharashtra,Mumbai,Bandra,73,135,65,8,4.7,1.01
2026-05-03,20:00:00,Maharashtra,Mumbai,Borivali,218,166,195,23,7.54,1.14
2026-07-02,11:00:00,Maharashtra,Mumbai,Lower Parel,127,180,124,3,5.7,1.05
2026-06-23,00:00:00,Maharashtra,Mumbai,Dadar,26,99,24,2,4.6,1.03
2026-05-04,02:00:00,Maharashtra,Mumbai,Lower Parel,62,163,53,9,4.09,1.02
2026-06-18,17:00:00,Maharashtra,Mumbai,Powai,185,164,171,14,5.67,1.13
2026-06-14,08:00:00,Maharashtra,Mumbai,Kurla,204,201,183,21,6.13,1.07
2026-06-13,,Maharashtra,Mumbai,Andheri,100,158,95,5,4.35,1.0
2026-05-06,03:00:00,Maharashtra,Mumbai,Kurla,90,178,84,6,5.25,1.0
2026-06-18,17:00:00,Maharashtra,Mumbai,Thane,158,115,139,19,7.54,1.15
2026-07-14,07:00:00,Maharashtra,,Bandra,146,134,133,13,7.13,1.08
2026-07-26,18:00:00,Maharashtra,Mumbai,Dadar,101,101,92,9,6.68,1.05
2026-06-25,03:00:00,Maharashtra,Mumbai,Powai,50,118,46,4,4.76,1.0
2026-07-15,10:00:00,Maharashtra,Mumbai,Lower Parel,122,167,116,6,4.82,1.0
2026-05-29,14:00:00,Maharashtra,Mumbai,Dadar,94,108,90,4,6.34,1.02
2026-07-08,06:00:00,Maharashtra,Mumbai,Thane,103,120,93,10,5.79,1.03
2026-07-20,10:00:00,Maharashtra,Mumbai,Lower Parel,112,179,106,6,5.78,1.0
2026-06-28,21:00:00,Maharashtra,Mumbai,,101,173,92,9,5.57,1.02
2026-05-09,01:00:00,Maharashtra,Mumbai,Bandra,36,118,34,2,4.63,1.02
2026-06-05,17:00:00,Maharashtra,Mumbai,Kurla,330,244,296,34,7.96,1.2
2026-07-05,17:00:00,Maharashtra,Mumbai,Powai,173,146,155,18,6.17,1.08
2026-05-19,17:00:00,Maharashtra,Mumbai,Dadar,140,129,121,19,7.78,1.16
2026-05-07,06:00:00,Maharashtra,Mumbai,Dadar,79,114,73,6,6.14,1.0
2026-05-08,19:00:00,Maharashtra,Mumbai,Powai,245,148,222,23,8.37,1.24
2026-07-29,02:00:00,Maharashtra,Mumbai,Andheri,54,138,46,8,5.83,1.01
2026-06-03,12:00:00,Maharashtra,Mumbai,Powai,146,133,128,18,5.7,1.1
2026-05-19,17:00:00,Maharashtra,Mumbai,Bandra,,143,149,11,6.06,1.11
2026-06-11,16:00:00,Maharashtra,Mumbai,Powai,108,122,99,9,5.68,1.0
2026-05-23,23:00:00,Maharashtra,Mumbai,Bandra,65,105,62,3,5.51,1.0
2026-05-20,08:00:00,Maharashtra,Mumbai,Andheri,186,163,166,20,5.96,1.15
2026-06-12,02:00:00,Maharashtra,Mumbai,Bandra,41,107,38,3,4.06,1.02
2026-07-25,22:00:00,Maharashtra,Mumbai,Borivali,111,160,103,8,3.94,1.0
2026-07-28,07:00:00,Maharashtra,Mumbai,Powai,182,158,157,25,7.1,1.14
2026-06-17,04:00:00,Maharashtra,Mumbai,Bandra,40,109,38,2,4.38,1.01
2026-05-25,08:00:00,Maharashtra,Mumbai,Kurla,248,238,226,22,6.25,1.09
2026-06-28,06:00:00,Maharashtra,Mumbai,Andheri,83,165,80,3,4.63,1.0
2026-05-13,17:00:00,Maharashtra,Mumbai,Powai,206,145,179,27,7.43,1.18
2026-05-24,22:00:00,Maharashtra,Mumbai,Powai,74,155,72,2,5.57,1.02
2026-07-06,21:00:00,Maharashtra,Mumbai,Thane,74,121,70,4,5.08,1.01
2026-05-20,14:00:00,Maharashtra,Mumbai,Lower Parel,149,172,135,14,6.49,1.02
,08:00:00,Maharashtra,Mumbai,Dadar,110,96,104,6,5.24,1.09
2026-07-17,18:00:00,Maharashtra,Mumbai,Lower Parel,235,194,214,21,7.59,1.16
2026-06-03,05:00:00,Maharashtra,Mumbai,Kurla,68,182,67,1,4.66,1.03
2026-06-15,05:00:00,Maharashtra,Mumbai,Kurla,66,184,64,2,4.15,1.02
2026-06-27,22:00:00,Maharashtra,Mumbai,Borivali,101,181,94,7,3.79,1.02
2026-07-09,09:00:00,Maharashtra,Mumbai,Kurla,274,223,246,28,6.24,1.09
2026-05-30,02:00:00,Maharashtra,Mumbai,Kurla,66,175,61,5,4.98,1.02
2026-06-19,14:00:00,Maharashtra,Mumbai,Lower Parel,147,172,137,10,5.56,1.03
2026-05-24,07:00:00,Maharashtra,Mumbai,Thane,105,133,94,11,4.98,1.05
2026-07-14,14:00:00,Maharashtra,Mumbai,Kurla,179,206,165,14,5.98,1.03
2026-05-25,17:00:00,Maharashtra,Mumbai,,219,196,199,20,6.77,1.14
2026-07-07,05:00:00,Maharashtra,Mumbai,Dadar,48,102,45,3,5.09,1.0
2026-06-09,15:00:00,Maharashtra,Mumbai,Andheri,96,182,87,9,4.57,1.0
2026-07-16,10:00:00,Maharashtra,Mumbai,Borivali,127,178,117,10,6.11,1.02
2026-05-24,03:00:00,Maharashtra,Mumbai,Borivali,53,166,51,2,4.79,1.0
2026-07-05,11:00:00,Maharashtra,Mumbai,Borivali,110,172,101,9,5.51,1.0
2026-06-13,02:00:00,Maharashtra,Mumbai,Powai,51,121,46,5,5.36,1.03
2026-07-28,21:00:00,Maharashtra,Mumbai,Thane,61,126,54,7,4.74,1.02
2026-06-12,02:00:00,Maharashtra,Mumbai,Lower Parel,68,168,63,5,4.32,1.01
2026-05-13,18:00:00,Maharashtra,Mumbai,Dadar,167,119,147,20,7.39,1.16
2026-07-19,23:00:00,Maharashtra,Mumbai,Kurla,116,193,111,5,5.45,1.0
2026-07-23,17:00:00,Maharashtra,Mumbai,Dadar,144,119,130,14,6.37,1.15
2026-06-19,13:00:00,Maharashtra,Mumbai,Bandra,138,153,126,12,5.49,1.02
2026-07-27,08:00:00,Maharashtra,Mumbai,Powai,166,153,155,11,7.23,1.11
2026-07-18,06:00:00,Maharashtra,Mumbai,Lower Parel,107,158,95,12,5.46,1.0
2026-05-21,11:00:00,Maharashtra,Mumbai,Lower Parel,,169,88,6,5.16,1.0
2026-06-25,16:00:00,Maharashtra,Mumbai,Dadar,71,104,67,4,5.61,1.0
2026-06-25,01:00:00,Maharashtra,Mumbai,Andheri,47,150,45,2,4.2,1.01
2026-07-20,02:00:00,Maharashtra,Mumbai,Kurla,58,203,53,5,3.81,1.03
2026-06-15,20:00:00,,Mumbai,Powai,212,153,189,23,7.72,1.22
2026-06-06,08:00:00,Maharashtra,Mumbai,Powai,119,153,113,6,5.36,1.04
2026-05-27,06:00:00,Maharashtra,Mumbai,Powai,99,124,97,2,4.72,1.0
2026-06-16,05:00:00,Maharashtra,Mumbai,Lower Parel,55,174,52,3,4.17,1.01
2026-05-10,14:00:00,Maharashtra,Mumbai,Bandra,103,142,87,16,5.99,1.04
2026-05-21,03:00:00,Maharashtra,Mumbai,Dadar,40,88,39,1,5.24,1.01
2026-06-09,06:00:00,Maharashtra,Mumbai,Dadar,91,97,82,9,5.42,1.01
2026-07-19,09:00:00,Maharashtra,Mumbai,Bandra,109,109,102,7,6.22,1.07
2026-06-27,06:00:00,Maharashtra,Mumbai,Bandra,91,90,81,10,5.21,1.08
2026-05-29,14:00:00,Maharashtra,Mumbai,Powai,113,121,102,11,7.1,1.0
2026-07-12,05:00:00,Maharashtra,Mumbai,Dadar,38,94,34,4,5.46,1.0
2026-05-10,11:00:00,Maharashtra,Mumbai,Thane,73,115,69,4,4.41,1.03
2026-06-08,10:00:00,Maharashtra,Mumbai,Bandra,80,115,74,6,4.99,1.0
2026-07-19,06:00:00,Maharashtra,Mumbai,Dadar,55,87,51,4,4.26,1.0
2026-06-25,20:00:00,Maharashtra,Mumbai,Andheri,224,156,204,20,8.15,
2026-05-09,14:00:00,Maharashtra,Mumbai,Andheri,148,144,135,13,4.84,1.07
2026-07-25,21:00:00,Maharashtra,Mumbai,Dadar,81,109,74,7,5.79,1.03
2026-05-10,22:00:00,Maharashtra,Mumbai,Bandra,82,130,71,11,5.83,1.0
2026-05-10,02:00:00,Maharashtra,Mumbai,Borivali,75,,68,7,4.51,1.0
2026-06-15,22:00:00,Maharashtra,Mumbai,Thane,58,121,57,1,4.88,1.0
2026-07-05,10:00:00,Maharashtra,Mumbai,Dadar,76,118,70,6,4.99,1.05
2026-05-21,19:00:00,Maharashtra,Mumbai,Andheri,197,156,172,25,6.72,1.22
2026-06-21,15:00:00,Maharashtra,Mumbai,Borivali,99,155,92,7,5.48,1.05
2026-05-26,20:00:00,Maharashtra,Mumbai,Andheri,231,165,209,22,7.3,1.19
2026-06-05,01:00:00,Maharashtra,Mumbai,Kurla,87,185,77,10,4.46,1.01
2026-05-03,00:00:00,Maharashtra,Mumbai,Thane,63,117,60,3,5.68,1.06
2026-07-22,06:00:00,Maharashtra,Mumbai,Thane,85,113,78,7,5.11,1.0
2026-06-17,18:00:00,Maharashtra,Mumbai,Kurla,279,221,245,34,7.97,1.15
2026-07-10,16:00:00,Maharashtra,Mumbai,Thane,83,,80,3,5.26,1.0
2026-06-27,18:00:00,Maharashtra,Mumbai,,120,121,110,10,6.85,1.07
2026-07-25,11:00:00,Maharashtra,Mumbai,Andheri,94,138,86,8,5.75,1.0
2026-05-20,00:00:00,Maharashtra,Mumbai,Thane,40,129,37,3,4.55,1.0
2026-05-28,,Maharashtra,Mumbai,Thane,87,118,80,7,5.0,1.0
2026-06-03,20:00:00,Maharashtra,Mumbai,Dadar,155,112,141,14,6.39,1.16
2026-07-26,18:00:00,Maharashtra,Mumbai,Borivali,185,177,167,18,6.82,1.13
2026-05-22,,Maharashtra,Mumbai,Lower Parel,97,174,90,7,5.51,1.01
2026-07-25,13:00:00,Maharashtra,Mumbai,Dadar,83,104,78,5,6.23,1.06
2026-07-18,09:00:00,Maharashtra,Mumbai,Dadar,91,123,84,7,5.78,1.03
2026-06-01,17:00:00,Maharashtra,Mumbai,Thane,180,129,164,16,7.57,1.17
2026-06-14,15:00:00,Maharashtra,Mumbai,Bandra,95,126,90,5,5.07,1.01
2026-05-04,23:00:00,Maharashtra,Mumbai,Dadar,79,86,74,5,4.78,1.01
2026-07-14,02:00:00,Maharashtra,Mumbai,Lower Parel,58,137,50,8,4.93,1.04
2026-06-25,05:00:00,Maharashtra,Mumbai,Thane,36,90,35,1,4.22,1.01
2026-06-22,03:00:00,Maharashtra,Mumbai,Borivali,61,163,60,1,4.02,1.0
2026-05-03,11:00:00,Maharashtra,Mumbai,Dadar,70,104,63,7,4.96,1.0
2026-06-21,11:00:00,Maharashtra,Mumbai,Kurla,133,200,127,6,5.78,1.0
2026-07-14,21:00:00,Maharashtra,Mumbai,Andheri,106,162,100,6,5.77,1.0
2026-07-25,12:00:00,Maharashtra,Mumbai,Bandra,109,118,98,11,6.61,1.04
2026-05-26,17:00:00,Maharashtra,Mumbai,Thane,163,123,145,18,7.36,1.12
2026-07-27,02:00:00,Maharashtra,Mumbai,Kurla,83,194,75,8,5.14,1.06
2026-07-20,05:00:00,Maharashtra,Mumbai,Kurla,85,164,75,10,4.79,1.0
2026-06-08,10:00:00,Maharashtra,Mumbai,Borivali,128,193,120,8,4.77,1.0
2026-07-13,04:00:00,Maharashtra,Mumbai,Borivali,69,182,65,4,5.07,1.0
2026-05-02,13:00:00,Maharashtra,Mumbai,Lower Parel,166,153,156,10,6.84,1.03
2026-07-07,05:00:00,Maharashtra,Mumbai,Bandra,55,109,52,3,5.06,1.01
2026-06-20,14:00:00,Maharashtra,Mumbai,Dadar,85,98,75,10,4.99,1.03
2026-07-20,08:00:00,Maharashtra,Mumbai,Bandra,138,128,129,9,7.05,1.12
2026-06-18,09:00:00,Maharashtra,Mumbai,Powai,188,123,163,25,8.02,1.21
2026-06-01,03:00:00,Maharashtra,Mumbai,Lower Parel,65,140,59,6,4.05,1.0
2026-07-29,09:00:00,Maharashtra,Mumbai,Bandra,151,144,136,15,6.88,1.15
2026-05-19,09:00:00,Maharashtra,Mumbai,Bandra,149,146,137,12,5.59,1.07
,06:00:00,Maharashtra,Mumbai,Dadar,65,111,60,5,4.39,1.0
,03:00:00,Maharashtra,Mumbai,Lower Parel,69,,64,5,4.2,1.0
2026-05-31,04:00:00,Maharashtra,Mumbai,Thane,48,113,45,3,5.17,1.0
2026-06-24,13:00:00,Maharashtra,Mumbai,Borivali,131,,121,10,5.02,1.0
2026-07-23,23:00:00,Maharashtra,Mumbai,Dadar,72,98,64,8,6.4,1.02
2026-07-09,05:00:00,Maharashtra,Mumbai,Powai,52,120,48,4,4.62,1.03
2026-06-29,23:00:00,Maharashtra,Mumbai,Bandra,,123,80,6,5.01,1.03
2026-07-07,18:00:00,Maharashtra,Mumbai,Andheri,246,179,218,28,7.04,1.2
2026-07-19,08:00:00,Maharashtra,Mumbai,Borivali,157,184,141,16,6.23,1.04
2026-05-07,11:00:00,Maharashtra,Mumbai,Borivali,112,169,100,12,5.6,1.0
2026-06-03,23:00:00,Maharashtra,,Dadar,73,73,68,5,6.64,1.05
2026-05-08,07:00:00,Maharashtra,Mumbai,Bandra,191,117,168,23,7.93,1.17
2026-06-07,17:00:00,Maharashtra,Mumbai,Borivali,252,177,223,29,7.19,1.17
2026-06-02,21:00:00,Maharashtra,Mumbai,Lower Parel,103,129,101,2,5.46,1.05
2026-07-04,21:00:00,Maharashtra,Mumbai,Andheri,107,148,100,7,3.86,1.04
2026-05-03,14:00:00,Maharashtra,Mumbai,Lower Parel,174,185,159,15,6.61,1.06
2026-06-13,05:00:00,Maharashtra,,Lower Parel,63,135,59,4,4.98,1.03
2026-05-07,01:00:00,Maharashtra,Mumbai,Andheri,51,125,45,6,4.34,1.0
2026-05-11,17:00:00,Maharashtra,Mumbai,Bandra,192,119,172,20,8.61,1.19
2026-05-09,20:00:00,Maharashtra,Mumbai,Bandra,156,101,136,20,6.99,1.2
2026-05-25,07:00:00,Maharashtra,Mumbai,Thane,127,125,117,10,6.93,1.11
2026-05-12,01:00:00,Maharashtra,Mumbai,Kurla,72,190,69,3,3.37,1.01
2026-05-19,03:00:00,Maharashtra,Mumbai,Lower Parel,50,169,44,6,4.64,1.0
2026-07-29,16:00:00,Maharashtra,Mumbai,Borivali,114,194,105,9,4.99,1.0
